Text,Label
"Career center invites you to resume review workshop.",career
"You've been invited to a job interview at Amazon. Click here to schedule.",career 
"New job matches: Data Analyst at Google, Software Intern at Tesla",career 
"Join our Virtual Career Fair - meet 50+ recruiters online!",career 
Your Amazon application has been rejected.,Career 
Your application to Cajun LLC has been approved.,Career 
You have submitted your application to Legacy Software. ,Career 
LinkedIn: You have 3 new messages ,Career 
""System Programmer": Legacy Software- Mainframe System Programmer $140k/ year",Career 
"Career Tip: Optimize your LinkedIn profile to attract more recruiters.",career 
"We're hiring! Backend Developer roles open at Stripe.",career 
"Your resume has been viewed by a recruiter at Google.",career
"New job alert: Data Scientist at Facebook.",career
"Join our workshop on building a personal brand.",career
"Your application for the internship at Amazon has been received.",career
"Career Fair next week - don't forget to register!",career
"New job openings in your field: Software Engineer at Microsoft.",career
"Your LinkedIn profile has been viewed by a recruiter.",career
"Free trial ends soon: don't miss your chance to upgrade.",other
"Your Uber Eats order has been delivered.",other
"Special offer: Save 30% on groceries this week.",other
"New music dropped this week - check it out!",other
"Your Hulu subscription will renew on May 1.",other
"Plan your weekend: Sunny and 75°F expected.",other
"Here's your daily newsletter: news, sports, and memes.",other
"Join our rewards program and earn double points.",other
"Reminder: Dentist appointment this Thursday at 10:30 AM.",other
"Try our limited-edition spring flavors!",other
"Security alert: Your account was logged into from a new device.",other
"Take this 2-minute survey and win a $25 gift card!",other
"You're invited to our neighborhood BBQ!",other
"Book your summer vacation early and save big.",other
"Daily mindfulness tip: Take 5 deep breaths.",other
"Earn cashback on your next purchase with this code.",other
"50% off all items this Saturday only!",other
"Your package has been shipped. Track it here: mypackage.com/track",other
"Daily weather update for your area: Cloudy, 60°F",other
"Reminder: Your subscription to Netflix renews on April 25.",other
"Flash sale: Buy one get one free!",other
"Check out the latest trends in fashion this season.",other
"You're invited to our summer giveaway!",other
"New episode of your favorite podcast is now available.",other
"This Friday, treat yourself with our exclusive offers.",other
"Try our new recipe of the week: Tofu Stir Fry",other
"Your Amazon order is out for delivery.",other
"Claim your free coffee today!",other
"Watch the latest trailer for the upcoming movie release.",other
"Explore your daily horoscope here.",other
"Join our sweepstakes and win big!",other
"Download our app and get $10 off your first order.",other
"Unsubscribe from all promotional emails here.",other
"Don't forget to file your taxes before April 15!",other
"Big sale: Buy one pizza, get one free!",other 
"50% off all shoes this weekend only. Don't miss out!",other 
"Your order from Amazon has shipped. Track your package here.",other 
"Daily horoscope: What the stars say about your week",other 
"Hey John, you wanna go to the game with me? ",Other
J3rrySpr1ng_ has added you as a friend on FaceBook,Other
You have recently signed into your Google account from a new device.,Other
Discover Card: Reminder! Your automatic Payment date is soon. ,Other
Your 7 Day Forecase for 4/23/2025 ,Other
"Training, diet, and your munchies game. Let's fix it before summer hits",Other
Your top April 20 reels of the day on Instagram,Other
Don't miss the NBA Play-In games this week,Other
Local singles are in your area. Meet up with them. ,Other
"Your Amazon order has been shipped. Tracking number: 1234567890",Other
"Free 1 month subscription to Netflix. Click here to redeem your offer",Other
"Your Spotify playlist has been updated with new songs.",Other
"Your Uber ride has been completed. Rate your driver now!",Other
